3728,2457600,
14233600,14123264,897536,
14190848,14221056,863744,
14204672,14214656,833536,
14287360,14367744,905728,
14267648,14174976,839936,
14358016,14343168,901376,
14279168,14232576,809472,
14229760,14182912,746496,
14253568,14294272,866816,
14187264,14159360,851456,
14241536,14349312,928256,
14236416,14270464,859904,
14198784,14092800,776704,
14275072,14257152,822784,
14196480,14091008,780032,
14228992,14269184,810240,
14229760,14255616,823296,
14206976,14243584,804864,
14270976,14426624,884992,
14183168,14225920,809984,
14238208,14379264,892416,
14220288,14350848,870912,
14315776,14328832,841216,
14382336,14517504,957184,
14203392,14256896,845312,
14257920,14246400,805120,
14229760,13982208,643072,
14215680,13820160,512768,
14284032,13948160,500480,
14246144,13882880,521216,
14359040,14075136,695040,
14345216,14116864,790016,
14286336,14158336,727040,
14275840,14370048,772608,
14224896,14216448,696576,
14277632,14381568,755712,
14259712,14297600,762880,
14271232,14192128,723968,
14295296,14350848,764928,
14228224,14181632,689664,
14308352,14329088,762112,
14282496,14264832,800256,
14262272,14288128,787456,
14302976,14408448,868864,
14226432,14294016,826112,
14299392,14478592,881664,
14230784,14379520,860928,
14601728,14439680,954112,
14355712,14533632,943616,
14240256,14339328,868864,
14279936,14795008,1089792,
14252288,14694400,1038080,
14286336,14670080,1054464,
14299648,14642688,1066240,
14320128,14587392,1011712,
14363648,14667264,1078528,
14306560,14504704,988416,
14279168,14617600,984320,
14196736,14343936,849920,
14242816,14395136,809216,
14224896,14247168,751872,
14213632,14218240,726016,
14264576,14296576,741632,
14206464,14131200,675840,
14245376,14311936,724224,
14234880,14318336,708096,
14209024,14167296,713728,
14265088,14339584,807168,
14180096,14255872,794624,
14231552,14395904,841472,
14190592,14431744,875776,
14567168,14419712,993536,
14286336,14632192,934912,
14192896,14401792,840960,
14217984,14529024,836352,
14224640,14484480,838656,
14210304,14341888,768512,
14276608,14469632,857344,
14259712,14297856,830208,
14338560,14434560,863744,
14302720,14395648,858880,
14185216,14290688,766464,
14228736,14424320,791552,
14177024,14294272,748288,
14233600,14455296,792832,
14201856,14426880,792576,
14192128,14337536,765184,
14199552,14456576,816384,
14150912,14281728,733952,
14203392,14402816,790272,
14203648,14314496,795136,
14171904,14270464,718080,
14185728,14422528,783360,
14144768,14259200,716032,
14300416,14393088,779008,
14304256,14376192,772352,
14176768,14343168,708864,
14220288,14485248,765440,
14145536,14341376,721152,
14239232,14585088,828928,
14203392,14506752,813568,
14246144,14448896,800256,
14312960,14557952,868864,
14279680,14391808,844288,
14273280,14558208,856064,
14205440,14437632,805376,
14175488,14402048,747264,
14209792,14546688,797184,
14149888,14376192,715008,
14204160,14515712,729600,
14179584,14468864,733952,
14177280,14422016,704000,
14220032,14543360,769792,
14167552,14334464,706816,
14198016,14475264,716032,
14151168,14439168,733184,
14155264,14358784,684288,
14443008,14520832,826624,
14203136,14304512,685568,
14205696,14418432,688896,
14164736,14345984,678144,
14170112,14283776,664064,
14191616,14435072,761856,
14148608,14294528,680960,
14266112,14465280,749312,
14257408,14369280,733440,
14288896,14312704,695552,
14227456,14339328,709120,
14132224,14149888,628480,
14195456,14373888,668416,
14155776,14243072,612864,
14173184,14260480,549888,
14214656,14365184,601088,
14112512,14035968,512256,
14139648,14037760,615680,
14155520,13844480,639488,
14185216,13836032,613376,
14231552,14069504,600064,
14228480,14004224,529920,
14382592,14269696,598528,
14514432,14203392,599552,
14279680,14243072,525056,
14289408,14317312,552704,
14265344,14167040,460032,
14350080,14340864,526336,
14340864,14198784,476672,
14375168,14184192,504576,
14460672,14357504,568320,
14426368,14171904,482816,
14442496,14373376,535296,
14350080,14232576,475136,
14366976,14251264,461312,
14373120,14406912,559360,
14345472,14212096,453120,
14402816,14401792,559360,
14361344,14249728,483072,
14394624,14231040,446976,
14437120,14317824,495616,
14372352,14140928,403200,
14434816,14370304,488960,
14397440,14226688,449280,
14582272,14251264,504832,
14512384,14429952,579840,
14404096,14205440,431872,
14455040,14363392,505344,
14424576,14113536,382976,
14465280,14097920,316160,
14488832,14165504,382976,
14483200,13967616,379904,
14619648,14217728,575232,
14550528,14077440,607488,
14500864,14149632,601344,
14470400,14268416,558336,
14434048,14207744,413952,
14507264,14394624,525312,
14447872,14160896,523008,
14485248,14162944,555776,
14493696,14205184,588800,
14481408,14113792,437760,
14541312,14368512,545792,
14467840,14164992,481024,
14494976,14254592,518400,
14504960,14263552,517376,
14610432,14130176,494080,
14685952,14405376,630528,
14514176,14180096,509952,
14535168,14225152,540160,
14529024,14309632,601600,
14488064,14132480,497920,
14574592,14374656,597504,
14553600,14218240,547328,
14628352,14265600,568064,
14624768,14287616,609024,
14543616,14092800,491264,
14552832,14209024,513536,
14487296,13840640,323840,
14497024,13547264,68352,
14502400,13379328,16702208,
14449920,13341440,16657920,
14501632,13636096,43264,
14439936,13517312,16760832,
14500352,13746432,84992,
14461440,13570304,13568,
14446592,13711104,52992,
14453760,13926656,157440,
14394880,13812992,114944,
14361344,13945600,137216,
14877952,14024704,416256,
14464000,13928448,203008,
14495232,14131712,310784,
14447872,14065920,299008,
14501888,14451456,518656,
14484736,14480384,570624,
14480384,14338304,457472,
14570240,14374912,465152,
14536960,14174976,349440,
14545408,14300672,404224,
14454784,14203136,348928,
14435328,14164224,329728,
14462464,14259968,399616,
14404096,14043648,300544,
14427904,14205184,382208,
14412032,14219776,348928,
14382080,14141952,339968,
14437632,14268672,388608,
14369792,14065664,246528,
14449152,14285568,355072,
14368256,14211584,333824,
14345216,14164992,299264,
14387200,14308096,374016,
14290432,14062592,264704,
14781184,14295296,518912,
14344960,14223104,357376,
14320384,14173696,305152,
14355200,14347008,370944,
14290432,14146304,297472,
14370816,14334464,363520,
14371840,14259712,356608,
14387968,14214400,327936,
14472960,14364672,423424,
14360320,14131456,330496,
14342656,14312192,350976,
14296832,14221568,312064,
14291712,14226432,287744,
14334464,14417664,387584,
14271232,14228736,304896,
14331648,14457856,406528,
14307072,14381824,403200,
14301440,14467584,444928,
14320896,14640384,525824,
14276608,14470144,468224,
14351872,14652160,583168,
14280448,14488320,485376,
14288384,14453248,441856,
14314240,14436096,435200,
14580224,14109696,337408,
14384384,14320128,335616,
14291712,14095360,212480,
14300928,14105344,236032,
14342912,14223360,295168,
14306816,14100224,199680,
14374144,14290688,270336,
14405376,14237440,280320,
14423040,14229760,283648,
14459392,14366208,340224,
14336000,14129920,201728,
14352640,14299648,243712,
14332160,14188800,190464,
14327296,14186752,191232,
14376960,14336512,293376,
14326528,14156288,195840,
14416896,14369024,281088,
14396160,14267136,233728,
14384384,14271232,227328,
14434304,14375680,308224,
14388992,14197504,200960,
14457088,14373888,268288,
14418176,14260992,231680,
14459904,14272256,223744,
14475264,14332672,274176,
14907136,14235136,380672,
14539008,14415360,334336,
14500352,14262272,258560,
14531840,14318592,276480,
14567168,14404352,326400,
14550016,14247936,267008,
14637056,14449920,368896,
14660096,14306560,374528,
14720512,14397696,428032,
14680576,14482688,475648,
14573056,14294016,360704,
14621696,14555648,486400,
14577408,14334720,380416,
14601216,14373376,351232,
14631168,14380288,372992,
14589952,14190848,264704,
14658560,14393600,347392,
14627584,14219776,268800,
14625792,14284544,305664,
14667520,14328576,327424,
14622720,14149376,252672,
14689536,14327808,371200,
14633728,14177280,274944,
14654208,14219776,269568,
14667776,14332928,332288,
15091200,14211840,414464,
14753792,14408192,395008,
14686720,14230272,327168,
14704384,14279424,302080,
14747136,14328064,335616,
14708480,14148608,235776,
14801920,14332928,358912,
14779648,14224896,339968,
14867712,14342656,405248,
14853888,14396928,458752,
14712320,14171648,294400,
14748928,14376704,352000,
14727936,14195712,289280,
14738176,14262016,339456,
14768384,14328832,394752,
14723584,14178304,290816,
14764544,14283776,417792,
14729216,14130176,338432,
14754048,14230016,383488,
14746112,14274304,392192,
14731008,14130944,304128,
14778624,14335488,398592,
14713600,14172160,315648,
14751232,14279424,341760,
14732288,14275584,375040,
14696704,14117376,266752,
14767872,14273024,299776,
15191040,14191104,411648,
14760448,14245376,269312,
14747904,14202368,282624,
14713088,14075904,221440,
14759168,14255616,320000,
14713856,14066688,206848,
14780416,14234368,290048,
14831360,14278400,317696,
14825472,14105856,292352,
14822912,14281472,344576,
14677504,14055424,233216,
14687744,14139136,249600,
14727680,14184448,311296,
14674944,14040576,203520,
14732288,14222848,327424,
14676480,14022912,236032,
14688768,14141440,292352,
14701312,14182144,310528,
14664704,14087168,241408,
14725376,14311680,330752,
14669056,14107392,255232,
14695680,14213888,291840,
14698752,14239232,303360,
14636544,14098688,215296,
14706176,14292736,308480,
14589952,14103296,178176,
15101696,14259200,451584,
14688256,14262016,305664,
14629632,14128640,208896,
14676992,14275840,328448,
14622208,14113280,221952,
14664960,14288640,307200,
14680576,14207488,316672,
14678016,14091008,245504,
14780672,14218496,309248,
